Date,Opponent,Goals_For,Goals_Against,Shots_On_Goal,Result
5/10/17,Colorado Avalanche,2,4,22,L
10/8/17,Montreal Canadiens,2,0,23,W
10/10/17,St. Louis Blues,1,3,19,L
10/14/17,New Jersey Devils,2,3,20,L
10/17/17,Pittsburgh Penguins,4,5,28,L
10/19/17,New York Islanders,3,4,24,L
10/21/17,Nashville Predators,4,2,29,W
10/23/17,San Jose Sharks,1,4,20,L
10/26/17,Arizona Coyotes,5,2,33,W
10/31/17,Vegas Golden Knights,6,4,35,W
11/6/17,Columbus Blue Jackets,5,3,34,W
11/7/17,Boston Bruins,4,2,36,W
11/11/17,Edmonton Oilers,4,2,31,W
11/19/17,Ottawa Senators,3,0,29,W
11/24/17,Detroit Red Wings,2,1,23,W
11/26/17,Vancouver Canucks,4,3,25,W
11/28/17,Florida Panthers,4,5,30,L
12/1/17,Carolina Hurricanes,5,1,35,W
12/9/17,New Jersey Devils,5,2,37,W
12/11/17,Dallas Stars,1,2,19,L
12/15/17,Los Angeles Kings,4,2,31,W
12/19/17,Anaheim Ducks,4,1,29,W
12/23/17,Toronto Maple Leafs,2,3,19,L
12/27/17,Washington Capitals,1,0,17,W
1/3/18,Chicago Blackhawks,2,5,21,L
1/13/18,New York Islanders,2,7,21,L
1/16/18,Philadelphia Flyers,5,1,40,W
1/18/18,Buffalo Sabres,4,3,38,W
2/1/18,Toronto Maple Leafs,0,4,17,L
2/7/18,Boston Bruins,1,6,19,L
2/9/18,Calgary Flames,4,3,27,W
2/18/18,Philadelphia Flyers,4,7,26,L
2/23/18,Minnesota Wild,1,4,20,L
2/25/18,Detroit Red Wings,2,3,23,L
3/6/18,Winnipeg Jets,0,3,18,L
3/12/18,Carolina Hurricanes,6,3,41,W
3/14/18,Pittsburgh Penguins,4,3,34,W
3/20/18,Columbus Blue Jackets,3,5,33,L
3/24/18,Buffalo Sabres,5,1,38,W
3/26/18,Washington Capitals,2,4,38,L
3/30/18,Tampa Bay Lightning,3,7,20,L
10/4/18,Nashville Predators,2,3,20,L
10/11/18,San Jose Sharks,3,2,23,W
